Id,Uid,Name,Country code,Country name,Country uid,Provider,Adm level,G0,G1,G2,G3,G4,Custom geo source
48067,gn_2475858,Tissemsilt,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2475858,,,,
48062,gn_2475741,Tizi Ouzou,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2475741,,,,
48057,gn_2475683,Tlemcen,DZ,Algeria,gn_2589581,gn,1,gn_2589581,gn_2475683,,,,
702,gn_5880801,American Samoa,AS,American Samoa,gn_5880801,gn,0,gn_5880801,,,,,
711,gn_5881219,Eastern,AS,American Samoa,gn_5880801,gn,1,gn_5880801,gn_5881219,,,,
715,gn_5881436,Manu'a,AS,American Samoa,gn_5880801,gn,1,gn_5880801,gn_5881436,,,,
796,gn_7309441,Rose Atoll,AS,American Samoa,gn_5880801,gn,1,gn_5880801,gn_7309441,,,,
709,gn_5881199,Swains Island,AS,American Samoa,gn_5880801,gn,1,gn_5880801,gn_5881199,,,,
704,gn_5880873,Western,AS,American Samoa,gn_5880801,gn,1,gn_5880801,gn_5880873,,,,
320589,gn_3041565,Andorra,AD,Andorra,gn_3041565,gn,0,gn_3041565,,,,,
320590,gn_3041566,Andorra la Vella,AD,Andorra,gn_3041565,gn,1,gn_3041565,gn_3041566,,,,
320586,gn_3040684,Encamp,AD,Andorra,gn_3041565,gn,1,gn_3041565,gn_3040684,,,,
320591,gn_3338529,Escaldes-Engordany,AD,Andorra,gn_3041565,gn,1,gn_3041565,gn_3338529,,,,
320585,gn_3040131,La Massana,AD,Andorra,gn_3041565,gn,1,gn_3041565,gn_3040131,,,,
320584,gn_3039676,Ordino,AD,Andorra,gn_3041565,gn,1,gn_3041565,gn_3039676,,,,
156,gn_3351879,Angola,AO,Angola,gn_3351879,gn,0,gn_3351879,,,,,
64,gn_2243598,Bengo,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_2243598,,,,
151,gn_3351660,Benguela,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_3351660,,,,
149,gn_3351640,Bie,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_3351640,,,,
57,gn_2243266,Cabinda,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_2243266,,,,
321788,gn_876337,Cuando Cubango,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_876337,,,,
47,gn_2241660,Cuanza Norte,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_2241660,,,,
123,gn_3349234,Cuanza Sul,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_3349234,,,,
118,gn_3349096,Cunene,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_3349096,,,,
110,gn_3348310,Huambo,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_3348310,,,,
109,gn_3348303,Huila,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_3348303,,,,
34,gn_2240444,Luanda,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_2240444,,,,
321772,gn_145702,Lunda Norte,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_145702,,,,
321771,gn_145701,Lunda Sul,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_145701,,,,
30,gn_2239858,Malanje,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_2239858,,,,
321778,gn_875996,Moxico,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_875996,,,,
90,gn_3347016,Namibe,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_3347016,,,,
6,gn_2236566,Uige,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_2236566,,,,
3,gn_2236355,Zaire,AO,Angola,gn_3351879,gn,1,gn_3351879,gn_2236355,,,,
321095,gn_3573511,Anguilla,AI,Anguilla,gn_3573511,gn,0,gn_3573511,,,,,
160,gn_6697173,Antarctica,AQ,Antarctica,gn_6697173,gn,0,gn_6697173,,,,,
321094,gn_3576396,Antigua and Barbuda,AG,Antigua and Barbuda,gn_3576396,gn,0,gn_3576396,,,,,
321093,gn_3576390,Barbuda,AG,Antigua and Barbuda,gn_3576396,gn,1,gn_3576396,gn_3576390,,,,
321092,gn_3576037,Redonda,AG,Antigua and Barbuda,gn_3576396,gn,1,gn_3576396,gn_3576037,,,,
321090,gn_3576023,Saint John,AG,Antigua and Barbuda,gn_3576396,gn,1,gn_3576396,gn_3576023,,,,
321089,gn_3576018,Saint Mary,AG,Antigua and Barbuda,gn_3576396,gn,1,gn_3576396,gn_3576018,,,,
321088,gn_3576017,Saint Paul,AG,Antigua and Barbuda,gn_3576396,gn,1,gn_3576396,gn_3576017,,,,
321087,gn_3576016,Saint Peter,AG,Antigua and Barbuda,gn_3576396,gn,1,gn_3576396,gn_3576016,,,,
321086,gn_3576015,Saint Philip,AG,Antigua and Barbuda,gn_3576396,gn,1,gn_3576396,gn_3576015,,,,
658,gn_3865483,Argentina,AR,Argentina,gn_3865483,gn,0,gn_3865483,,,,,
301,gn_3435907,Buenos Aires,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3435907,,,,
273,gn_3433955,Buenos Aires Capital Federal,AR,Argentina,gn_3865483,gn,1,gn_3865483,gn_3433955,,,,
